token_id,num_sales,last_sale,class,age,genre,origin,latent
1263,0,,Poet,0.42,sof,2GTX,70TX
1264,0,,Poet,0.35,sof,PQTI,KT8B
1253,0,,Poet,0.37,ioh,ZBHH,BMOZ
1198,0,,Poet,0.65,ioh,OKI8,WE19
1132,0,,Poet,0.39,ion,JOQL,68S0
1240,0,,Poet,0.61,sof,2EIA,X44S
1266,0,,Poet,0.30,fel,92SW,YANT
1254,0,,Poet,0.39,ion,V948,EM3E
1133,0,,Poet,0.39,ion,ANO3,MN18
1241,0,,Poet,0.37,nah,1NVQ,D3PL
1255,0,,Poet,0.58,ioh,TDU8,TLGW
1134,0,,Poet,0.19,aes,63H7,0799
1242,0,,Poet,0.28,sof,4724,4HZ8
1256,0,,Poet,0.30,ioh,12SV,XUZN
1135,0,,Poet,0.42,nas,ROYH,LEP3
1243,0,,Poet,0.33,ioh,UE24,H6VZ
1257,0,,Poet,0.37,ion,PK9H,9EWS
1136,0,,Poet,0.54,nas,K1CC,A4HZ
1244,0,,Poet,0.28,ioh,QYRU,5ECQ
1137,0,,Poet,0.30,son,HM2G,LH2V
1245,0,,Poet,0.39,nai,CPDK,VQD0
1138,0,,Poet,0.21,naa,K69D,WCW0
1246,0,,Poet,0.32,naa,GHIK,37CP
1139,0,,Poet,0.30,nas,1F2T,01GE
1247,0,,Poet,0.39,ion,EEU2,88Y0
1140,0,,Poet,0.32,ion,5ER6,88Y0
1141,0,,Poet,0.30,ioh,QYRU,W4JB
1142,0,,Poet,0.35,ioh,04UX,QW7B
1143,0,,Poet,0.35,naf,MYNO,L7O4
1144,0,,Poet,0.33,ioh,VNWP,RHOF
1145,0,,Poet,0.26,son,Y19Q,OFV1
1146,0,,Poet,0.25,ioh,0R6C,XUZN
1147,0,,Poet,0.35,ion,O18F,R9AL
1148,0,,Poet,0.28,nas,S44G,WE19
1149,0,,Poet,0.37,son,T5OF,6HUH
1150,0,,Poet,0.37,ion,SGHV,RO32
1151,0,,Poet,0.40,ioh,KNOK,4C9D
1152,0,,Poet,0.39,ioh,RJVE,868I
1153,0,,Poet,0.44,iof,6AF2,A8T9
1154,0,,Poet,0.40,ion,EJT3,BD1E
1155,0,,Poet,0.25,nas,Z49M,KOR4
1156,0,,Poet,0.33,aes,8RIH,8TAH
1157,0,,Poet,0.32,ioh,UBA2,078H
1158,0,,Poet,0.26,ion,4JGN,8TAH
1159,0,,Poet,0.32,iol,RBW2,SC5A
1160,0,,Poet,0.21,sof,IGWJ,YLNK
1161,0,,Poet,0.47,nah,54OG,WMNT
1162,0,,Poet,0.40,iof,IGLJ,SPLQ
1163,0,,Poet,0.35,fes,S44G,9EWS
1164,0,,Poet,0.23,aeh,6LC5,G7PR
1165,0,,Poet,0.37,ioh,3N2I,MN18
1275,0,,Poet,0.28,ion,4IQQ,YLNK
1268,0,,Poet,0.26,ioh,MCI5,4HZ8
1267,1,1.69,Poet,0.35,son,MIVF,SMH8
1285,2,1.55,Poet,0.47,ion,X50V,YVOK
1284,0,,Poet,0.28,nai,7XT6,CGKE
1293,0,,Poet,0.30,ion,N50R,9EWS
1269,0,,Poet,0.11,ion,OR9P,YAZK
1276,0,,Poet,0.30,fes,QZCA,WMNT
1341,0,,Poet,0.58,ioh,VJVR,ENJT
1335,1,1.1,Poet,0.39,ion,1BMT,5KP0
1286,1,1.2,Poet,0.30,ion,VAR3,6OKB
1270,0,,Poet,0.49,ion,ABD5,YVOK
1334,0,,Poet,0.42,ioh,SFNI,9EWS
1332,0,,Poet,0.33,ioh,K3F8,5ECQ
1336,0,,Poet,0.26,ion,Y66X,NA7C
1294,0,,Poet,0.35,ion,WL8S,L7O4
1277,0,,Poet,0.33,ioh,I9PZ,04M3
1399,0,,Poet,0.40,aes,4EQH,HS32
1333,0,,Poet,0.40,ion,E0FR,9UI9
1338,0,,Poet,0.26,nai,RP3F,SC5A
1340,0,,Poet,0.30,ion,908Y,J56S
1324,0,,Poet,0.32,ion,32HF,BIYU
1405,0,,Poet,0.56,nai,I6FS,Y40M
1323,0,,Poet,0.28,ioh,XRYI,XR5S
1343,0,,Poet,0.19,nas,K69D,XTF3
1287,1,1.2,Poet,0.46,sof,QXUW,H7XY
1337,0,,Poet,0.49,aes,BNKR,5W4U
1342,0,,Poet,0.30,ion,SEWV,868I
1271,0,,Poet,0.30,aen,TLLJ,7N9K
1295,0,,Poet,0.37,ioh,B9G9,PGVP
1278,0,,Poet,0.28,ion,X50V,7B4L
1339,0,,Poet,0.23,aen,G0M1,37CP
1325,0,,Poet,0.30,nai,0LJY,0799
1346,0,,Poet,0.35,nah,PR50,YZK9
1345,0,,Poet,0.40,ion,UZIM,C7H6
1360,0,,Poet,0.32,ion,E9H3,6HUH
1344,0,,Poet,0.42,ioh,562N,8GWE
1348,0,,Poet,0.23,nas,H5PO,YP04
1288,1,2.8,Poet,0.42,ioh,8PDZ,SC5A
1272,0,,Poet,0.28,sof,SE8D,ENJT
1279,0,,Poet,0.39,ioh,306V,5K5S
1296,0,,Poet,0.28,ioh,SZL5,D7YW
1347,1,1.4,Poet,0.25,ioh,3JH7,NU5M
1326,0,,Poet,0.37,ion,3DP3,2C3F
1359,0,,Poet,0.37,ion,TN8L,Q7L9
1361,0,,Poet,0.37,ion,RL6R,MY2T
1280,0,,Poet,0.21,nai,UEKE,7RCZ
1289,1,1.32,Poet,0.39,ioh,DGG1,FNZL
1273,0,,Poet,0.33,ion,9O7O,GFAW
1297,0,,Poet,0.37,sof,S3GV,WCW0
1327,0,,Poet,0.30,ioh,RL6R,9A47
1349,0,,Poet,0.37,ion,AT1I,Q7L9
1362,0,,Poet,0.23,nai,PQMZ,HBRP
1358,0,,Poet,0.19,aes,Y19Q,2Y3P
1363,0,,Poet,0.28,nas,FJLH,X5WF
1290,1,1.32,Poet,0.32,soa,HO4S,ET1P
1281,0,,Poet,0.23,ioh,UDZ0,FNZL
1274,0,,Poet,0.33,ioh,GONZ,17A2
1298,0,,Poet,0.81,aes,VTCP,9VIV
1328,0,,Poet,0.35,son,SM9N,VQD0
1350,0,,Poet,0.40,ion,Y1LP,J0OS
1291,0,,Poet,0.26,nas,4JGN,0J0D
1365,0,,Poet,0.21,nai,45PC,ZJYM
1282,0,,Poet,0.53,nai,9TP8,ZK2P
1299,0,,Poet,0.47,nai,VAR3,CSJ3
1329,0,,Poet,0.23,ion,GHIK,6PM3
1364,0,,Poet,0.40,lui,GBLO,J0OS
1351,0,,Poet,0.23,ion,IJ35,M8W3
1421,0,,Poet,0.39,ion,LJXP,4C9D
1375,0,,Poet,0.21,nas,U93P,WUUF
1292,2,1.2,Poet,0.30,ioh,N50R,7RCZ
1366,0,,Poet,0.21,ioh,MAWP,B9UA
1283,0,,Poet,0.39,naa,NEF7,DN6M
1330,0,,Poet,0.33,nas,DEU3,BD1E
1300,0,,Poet,0.32,ion,6S6Z,GFAW
1352,0,,Poet,0.44,ioh,8DNH,2C3F
1376,1,1.8,Poet,0.35,ioh,6N34,0J0D
1367,0,,Poet,0.25,son,VLPY,3NEH
1428,0,,Poet,0.28,sof,A1RN,LTGX
1331,0,,Poet,0.28,nai,T0TU,SPLQ
1301,0,,Poet,0.40,ios,R99I,D3PL
1353,0,,Poet,0.23,iof,NY7L,B9UA
1377,2,1.38,Poet,0.37,nai,9G2E,BS8J
1368,0,,Poet,0.32,ion,2ZPR,OFV1
1302,0,,Poet,0.32,ioh,88YE,DFFX
1354,0,,Poet,0.21,fei,8PPT,J0OS
1369,0,,Poet,0.23,nai,SF7G,6PM3
1381,0,,Poet,0.49,fen,NHIZ,83L5
1382,0,,Poet,0.37,nah,300U,47M9
1303,0,,Poet,0.32,ion,KI8O,H7XY
1355,0,,Poet,0.37,ion,A5LI,YAZK
1370,0,,Poet,0.12,ion,JLRD,8GWE
1304,0,,Poet,0.39,naa,BXEE,ZFNI
1356,0,,Poet,0.26,ion,UBA2,TSJQ
1371,0,,Poet,0.44,ioh,HOWV,8SBN
1436,0,,Poet,0.18,naa,MAM1,MHED
1305,0,,Poet,0.26,sof,U4FG,8LHR
1385,0,,Poet,0.28,nas,U17W,TSJQ
1357,0,,Poet,0.40,ioa,VJVR,X3YM
1372,0,,Poet,0.30,ioh,NEF7,IFYR
1437,0,,Poet,0.25,ioh,EOUM,N50M
1306,0,,Poet,0.37,aen,HD13,G7PR
1378,0,,Poet,0.26,nas,LNQA,9EWS
1386,0,,Poet,0.30,ios,H9R5,37CP
1373,0,,Poet,0.61,ion,4XS9,KOR4
1438,0,,Poet,0.30,naf,I4F1,FQIW
1384,0,,Poet,0.23,nas,1F2T,TSJQ
1387,0,,Poet,0.46,aen,RY5A,70TX
1379,0,,Poet,0.37,nas,8P7U,70TX
1374,0,,Poet,0.47,naf,AEHY,VW2M
1307,0,,Poet,0.39,nai,GGSQ,WUUF
1439,0,,Poet,0.25,fes,DSC4,POTL
1402,0,,Poet,0.37,naf,V8JC,7966
1383,0,,Poet,0.56,ioh,5D7N,3VBW
1388,0,,Poet,0.33,iof,HWY9,RAPU
1397,0,,Poet,0.42,aes,NRVQ,4R7W
1396,0,,Poet,0.32,ioh,AKVS,6PM3
1380,0,,Poet,0.33,ioh,MQVY,4C9D
1440,0,,Poet,0.42,ioh,I9PZ,LTGX
1403,0,,Poet,0.26,ion,RIYL,01GE
1400,0,,Poet,0.37,ioh,GANB,7W0T
1389,0,,Poet,0.42,ioh,1DVP,D4G4
1308,0,,Poet,0.44,ion,IO6Y,53FI
1395,1,1.14,Poet,0.40,ion,2JGI,ZFNI
1406,1,10.0,Poet,0.35,ios,GJJV,JFAQ
1398,1,3.0,Poet,0.39,aef,4EQH,ZMVL
1412,0,,Poet,0.28,aes,8PPT,JZ22
1404,0,,Poet,0.56,son,B3HS,PGVP
1390,0,,Poet,0.37,nah,F8MG,DN6M
1401,0,,Poet,0.35,iof,PK9H,5L9N
1309,0,,Poet,0.33,ioh,2CHQ,8SBN
1391,0,,Poet,0.30,ios,PQMZ,X6Q0
1407,0,,Poet,0.30,nas,C9GO,F6CX
1310,0,,Poet,0.37,soa,I5D1,EGQY
1414,0,,Poet,0.21,ion,EBIE,F5QC
1413,0,,Poet,0.40,naf,Y60M,HI8L
1409,1,2.89,Poet,0.39,ioh,8LBG,JZ22
1422,0,,Poet,0.32,son,5AOY,7IO8
1408,0,,Poet,0.47,fen,5ZVE,QUMP
1392,0,,Poet,0.54,fes,QF9T,A4HZ
1419,0,,Poet,0.40,son,08YY,EZCO
1429,0,,Poet,0.26,ioa,IR9K,SPLQ
1311,0,,Poet,0.37,ios,B9G9,XTF3
1410,0,,Poet,0.35,luf,T9XR,XR5S
1423,0,,Poet,0.39,ion,JAF9,04M3
1415,0,,Poet,0.35,nah,OR9P,GTQ3
1425,0,,Poet,0.32,ioh,FHKA,CGKE
1393,0,,Poet,0.35,ioh,J7R6,Y40M
1418,0,,Poet,0.37,ioh,Z88B,W6CP
1420,0,,Poet,0.40,fea,WAPV,D4G4
1411,1,2.49,Poet,0.33,ion,853G,SC5A
1312,0,,Poet,0.25,ioh,QO8D,QW7B
1424,0,,Poet,0.26,fes,JH6P,CXBO
1416,0,,Poet,0.33,nai,E69B,IEQH
1433,0,,Poet,0.16,soa,PQMZ,TSJQ
1443,0,,Poet,0.39,ioh,V405,ET1P
1394,0,,Poet,0.37,ion,3HKJ,LH2V
1313,0,,Poet,0.37,ioh,V829,WZRT
1430,0,,Poet,0.33,ioh,SKW3,X6Q0
1434,0,,Poet,0.44,ioh,ZCAV,6NTE
1417,0,,Poet,0.23,ion,AKVS,VDBS
1314,0,,Poet,0.35,ioh,NFHQ,PZ6X
1431,0,,Poet,0.32,ioh,A5LI,WCW0
1426,0,,Poet,0.44,aei,BA0C,7966
1315,0,,Poet,0.25,nai,68AC,7B4L
1432,0,,Poet,0.33,son,1BMT,0SS6
1427,0,,Poet,0.39,aef,7EC1,A4HZ
1316,0,,Poet,0.40,fei,Y3S5,WE19
1442,0,,Poet,0.33,ion,B36F,6BN1
1317,0,,Poet,0.23,son,CVNO,47M9
1435,0,,Poet,0.28,ion,MJ5Z,50PW
1441,1,1.441,Poet,0.39,ioh,E0FR,LH2V
1318,0,,Poet,0.21,ion,2GVI,FC5N
1319,0,,Poet,0.26,nas,7FSZ,FNZL
1320,0,,Poet,0.54,ioh,B4DH,HI8L
1321,0,,Poet,0.26,ion,5Y9U,9Y0H
1322,0,,Poet,0.32,son,OHFI,RH64
